% test
@RELATION gender-by-name

@ATTRIBUTE Name STRING
@ATTRIBUTE Gender STRING
@ATTRIBUTE Count INTEGER
@ATTRIBUTE Probability REAL

@DATA
Nicole,F,653738,0.001789111
Dennis,M,634888,0.001737524
Walter,M,631880,0.001729292
Tyler,M,627809,0.00171815
Peter,M,624703,0.00170965
Brenda,F,623319,0.001705862
Aaron,M,623260,0.001705701
Jerry,M,619534,0.001695504
Christine,F,618510,0.001692702
Samantha,F,614650,0.001682138
Adam,M,613090,0.001677868
Rachel,F,608929,0.001666481
Pamela,F,608542,0.001665422
Frances,F,597703,0.001635758
Nathan,M,588399,0.001610296
Douglas,M,587147,0.001606869
Heather,F,584816,0.00160049
Evelyn,F,583016,0.001595564
Jose,M,582242,0.001593445
Alice,F,571812,0.001564901
Janet,F,569909,0.001559693
Maria,F,567973,0.001554395
Zachary,M,567305,0.001552567
Carolyn,F,565635,0.001547996
Debra,F,562674,0.001539893
Harold,M,556704,0.001523555
Martha,F,552497,0.001512041
Marie,F,548785,0.001501882
Arthur,M,540307,0.00147868
Julie,F,532960,0.001458573
Kyle,M,532546,0.00145744
Diane,F,530707,0.001452407
Christina,F,519041,0.001420481
Victoria,F,514307,0.001407525
Joyce,F,513332,0.001404857
Carl,M,511826,0.001400735
Lauren,F,511468,0.001399755
Grace,F,509446,0.001394222
Kelly,F,505014,0.001382092
Albert,M,497184,0.001360664
Rose,F,489578,0.001339848
Megan,F,489524,0.0013397
Joan,F,489178,0.001338753
Jeremy,M,476599,0.001304328
Ann,F,476259,0.001303397
Julia,F,474896,0.001299667
Kathryn,F,474269,0.001297951
Lawrence,M,469128,0.001283882
Olivia,F,468892,0.001283236
Judith,F,466109,0.001275619
Doris,F,465461,0.001273846
Jean,F,464229,0.001270474
Andrea,F,463819,0.001269352
Gerald,M,459573,0.001257732
Sean,M,456056,0.001248107
Joe,M,454987,0.001245181
Keith,M,454311,0.001243331
Sara,F,453924,0.001242272
Cheryl,F,453366,0.001240745
Hannah,F,452249,0.001237688
Mildred,F,452211,0.001237584
Willie,M,452027,0.001237081
Lillian,F,450001,0.001231536
Roger,M,449323,0.001229681
Jesse,M,446751,0.001222642
Jacqueline,F,442645,0.001211405
Ethan,M,440943,0.001206747
Terry,M,434103,0.001188027
Christian,M,432774,0.00118439
Harry,M,428640,0.001173077
Teresa,F,427017,0.001168635
Austin,M,426133,0.001166216
Gloria,F,419045,0.001146818
Ralph,M,417786,0.001143372
Janice,F,416428,0.001139655
Roy,M,413772,0.001132387
Theresa,F,412817,0.001129773
Amber,F,411042,0.001124915
Danielle,F,408784,0.001118736
Noah,M,406062,0.001111286
Bryan,M,405573,0.001109948
Jordan,M,405211,0.001108957
Louis,M,402583,0.001101765
Brittany,F,400503,0.001096073
Bruce,M,397629,0.001088207
Madison,F,390237,0.001067977
Judy,F,387362,0.001060109
Billy,M,387105,0.001059406
Dylan,M,386496,0.001057739
Denise,F,384420,0.001052058
Beverly,F,383574,0.001049743
Eugene,M,382946,0.001048024
Jane,F,379650,0.001039004
Marilyn,F,379650,0.001039004
Abigail,F,376102,0.001029294
Diana,F,373821,0.001023051
Charlotte,F,373216,0.001021395
Natalie,F,373128,0.001021155
Tiffany,F,369806,0.001012063
Wayne,M,369307,0.001010698
Russell,M,365975,0.001001579
Alan,M,364887,0.000998601
Crystal,F,364045,0.000996297
Sophia,F,361184,0.000988467
Irene,F,359429,0.000983664
Juan,M,357801,0.000979209
Ruby,F,357535,0.000978481
Gabriel,M,357532,0.000978472
Philip,M,356424,0.00097544
Annie,F,355337,0.000972465
Kayla,F,353100,0.000966343
Vincent,M,352791,0.000965497
Lori,F,349991,0.000957835
Howard,M,349397,0.000956209
Alexis,F,348161,0.000952826
Erin,F,345327,0.00094507
Fred,M,345020,0.00094423
Logan,M,344794,0.000943612
Isabella,F,343387,0.000939761
Tammy,F,340673,0.000932334
Louise,F,339242,0.000928417
Florence,F,338889,0.000927451
Randy,M,337986,0.00092498
Bradley,M,336744,0.000921581
Kathy,F,336470,0.000920831
Lois,F,335648,0.000918582
Anne,F,333573,0.000912903
Bonnie,F,332401,0.000909695
Victor,M,330614,0.000904805
Taylor,F,330580,0.000904712
Travis,M,328502,0.000899025
Phyllis,F,325658,0.000891242
Shawn,M,325287,0.000890226
Phillip,M,322731,0.000883231
Shannon,F,321264,0.000879216
Martin,M,319665,0.00087484
Johnny,M,318870,0.000872665
Craig,M,318864,0.000872648
Allison,F,318564,0.000871827
Bobby,M,318251,0.00087097
Alyssa,F,318123,0.00087062
Ella,F,312855,0.000856203
Josephine,F,312080,0.000854082
Ernest,M,307247,0.000840855
Stanley,M,306812,0.000839665
Cody,M,306357,0.00083842
Clarence,M,305503,0.000836083
Tina,F,300693,0.000822919
Elijah,M,299860,0.000820639
Leonard,M,299746,0.000820327
Carlos,M,297730,0.00081481
Dawn,F,297675,0.000814659
Robin,F,296764,0.000812166
Edna,F,296405,0.000811184
Cameron,M,294544,0.000806091
Peggy,F,294231,0.000805234
Caleb,M,294194,0.000805133
Eleanor,F,292713,0.00080108
Isaac,M,292709,0.000801069
Todd,M,292608,0.000800792
Jamie,F,292438,0.000800327
Earl,M,291904,0.000798866
Francis,M,291827,0.000798655
Jimmy,M,291501,0.000797763
Mason,M,291402,0.000797492
Danny,M,291046,0.000796517
Audrey,F,290898,0.000796112
Rita,F,287585,0.000787046
Luke,M,286681,0.000784572
Dale,M,286547,0.000784205
Alex,M,286229,0.000783335
Paula,F,283889,0.000776931
Clara,F,283518,0.000775915
Wanda,F,283048,0.000774629
Joel,M,282890,0.000774197
Evan,M,282744,0.000773797
Norma,F,281856,0.000771367
Luis,M,281214,0.00076961
Courtney,F,280434,0.000767475
Ethel,F,280148,0.000766692
Nathaniel,M,279797,0.000765732
Wendy,F,279245,0.000764221
Ellen,F,278869,0.000763192
Leslie,F,278719,0.000762782
Marjorie,F,276604,0.000756993
Vanessa,F,276265,0.000756066
Allen,M,276160,0.000755778
Valerie,F,274440,0.000751071
Carrie,F,274292,0.000750666
Ava,F,273829,0.000749399
Eva,F,272371,0.000745409
Frederick,M,270555,0.000740439
Curtis,M,270082,0.000739144
Edith,F,269856,0.000738526
Connie,F,269618,0.000737875
Lucas,M,269319,0.000737056
Gladys,F,268394,0.000734525
Cindy,F,266689,0.000729859
Tracy,F,265069,0.000725425
Elaine,F,264934,0.000725056
Hazel,F,263526,0.000721202
Monica,F,263152,0.000720179
Norman,M,261995,0.000717012
Esther,F,261417,0.000715431
Melanie,F,260420,0.000712702
Brianna,F,260152,0.000711969
Antonio,M,259281,0.000709585
Jasmine,F,258655,0.000707872
Chad,M,257900,0.000705805
Katie,F,257392,0.000704415
Tony,M,256800,0.000702795
Rodney,M,255138,0.000698247
Glenn,M,255115,0.000698184
Marvin,M,255029,0.000697948
April,F,254953,0.00069774
Derek,M,254028,0.000695209
Erica,F,253323,0.000693279
Ian,M,251425,0.000688085
Adrian,M,249881,0.00068386
Theodore,M,249785,0.000683597
Alexandra,F,249693,0.000683345
Marcus,M,247488,0.00067731
Alfred,M,246745,0.000675277
Jackson,M,246717,0.0006752
Edwin,M,246628,0.000674957
Melvin,M,246526,0.000674678
Sylvia,F,246183,0.000673739
Sheila,F,246132,0.000673599
Alicia,F,245117,0.000670822
Steve,M,243444,0.000666243
Leah,F,241758,0.000661629
Hunter,M,241453,0.000660794
Lee,M,238799,0.000653531
Jeffery,M,237685,0.000650482
Kristen,F,237638,0.000650354
Caroline,F,236856,0.000648213
Mia,F,235403,0.000644237
Sherry,F,235283,0.000643909
Angel,M,235027,0.000643208
Jesus,M,233675,0.000639508
Dustin,M,232187,0.000635436
Herbert,M,231146,0.000632587
Pauline,F,230062,0.00062962
Michele,F,229908,0.000629199
Veronica,F,228778,0.000626106
Ricky,M,227831,0.000623514
Liam,M,227655,0.000623033
Wesley,M,227347,0.00062219
Thelma,F,226849,0.000620827
Suzanne,F,226804,0.000620704
Lucille,F,225466,0.000617042
Morgan,F,222799,0.000609743
Joanne,F,222697,0.000609464
Troy,M,222076,0.000607764
Chloe,F,221173,0.000605293
Anita,F,221044,0.00060494
Connor,M,219605,0.000601002
Isaiah,M,218039,0.000596716
Julian,M,217984,0.000596566
Jared,M,217187,0.000594385
Holly,F,216906,0.000593615
Lorraine,F,216552,0.000592647
Jayden,M,216013,0.000591172
Jill,F,214016,0.000585706
Geraldine,F,213493,0.000584275
Rhonda,F,212978,0.000582866
Dolores,F,212394,0.000581267
Eddie,M,212212,0.000580769
Vivian,F,211914,0.000579954
Darlene,F,210920,0.000577233
Aiden,M,210595,0.000576344
Calvin,M,210202,0.000575268
Shane,M,209840,0.000574278
Leo,M,209835,0.000574264
Juanita,F,209425,0.000573142
Sally,F,208588,0.000570851
Lucy,F,208533,0.000570701
Bertha,F,208472,0.000570534
Gail,F,207919,0.00056902
Oscar,M,206624,0.000565476
Mike,M,205805,0.000563235
Randall,M,204934,0.000560851
Ray,M,204605,0.000559951
Bernard,M,202759,0.000554899
Jeremiah,M,202335,0.000553738
Dana,F,201778,0.000552214
Brooke,F,201158,0.000550517
Leroy,M,200472,0.00054864
Amelia,F,200459,0.000548604
Corey,M,197691,0.000541029
June,F,197485,0.000540465
Owen,M,196913,0.0005389
Claire,F,196008,0.000536423
Jay,M,195482,0.000534984
Kristin,F,193868,0.000530566
Beatrice,F,193289,0.000528982
Clifford,M,193284,0.000528968
Marion,F,192656,0.00052725
Renee,F,192626,0.000527167
Tara,F,192581,0.000527044
Madeline,F,192089,0.000525698
Barry,M,191196,0.000523254
Debbie,F,191140,0.000523101
Eileen,F,191010,0.000522745
Manuel,M,188491,0.000515851
Ida,F,187424,0.000512931
Lynn,F,186861,0.00051139
Blake,M,186538,0.000510506
Dean,M,185933,0.00050885
Kim,F,185421,0.000507449
Bernice,F,184172,0.000504031
Ronnie,M,184017,0.000503607
Warren,M,182931,0.000500635
Gavin,M,182621,0.000499786
Miguel,M,182423,0.000499244
Cassandra,F,182385,0.00049914
Regina,F,181248,0.000496029
Elsie,F,181180,0.000495843
Jo,F,179479,0.000491187
Tommy,M,178878,0.000489543
Trevor,M,178869,0.000489518
Stella,F,177832,0.00048668
Gertrude,F,177762,0.000486489
Loretta,F,177476,0.000485706
Rosa,F,176857,0.000484012
Sydney,F,175709,0.00048087
Oliver,M,175652,0.000480714
Chelsea,F,175569,0.000480487
Roberta,F,175400,0.000480024
Savannah,F,175341,0.000479863
Lindsey,F,174517,0.000477608
Brett,M,174463,0.00047746
Colleen,F,174269,0.000476929
Gordon,M,174239,0.000476847
Mitchell,M,174201,0.000476743
Charlie,M,173668,0.000475284
Dominic,M,173576,0.000475033
Jessie,F,172923,0.000473245
Annette,F,172768,0.000472821
Molly,F,172555,0.000472238
Cathy,F,172127,0.000471067
Stacy,F,171498,0.000469346
Laurie,F,171426,0.000469149
Lydia,F,171350,0.000468941
Jon,M,170459,0.000466502
Chase,M,170437,0.000466442
Leon,M,170355,0.000466217
Bessie,F,170345,0.00046619
Seth,M,170132,0.000465607
Kaitlyn,F,170008,0.000465268
Don,M,168373,0.000460793
Naomi,F,167842,0.00045934
Jeanette,F,167796,0.000459214
Hailey,F,166397,0.000455385
Jeanne,F,164331,0.000449731
Darrell,M,164242,0.000449488
Lloyd,M,164089,0.000449069
Carter,M,163758,0.000448163
Jerome,M,162966,0.000445996
Erik,M,162301,0.000444176
Alvin,M,162184,0.000443856
Beth,F,162170,0.000443817
Jenna,F,162031,0.000443437
Yvonne,F,161975,0.000443284
Rosemary,F,161743,0.000442649
Landon,M,161513,0.000442019
Bill,M,161119,0.000440941
Haley,F,160950,0.000440478
Alma,F,160889,0.000440311
Wyatt,M,160882,0.000440292
Micheal,M,160821,0.000440125
Agnes,F,159642,0.000436899
Gina,F,159142,0.00043553
Minnie,F,159031,0.000435227
Sebastian,M,159006,0.000435158
Devin,M,158785,0.000434553
Georgia,F,158413,0.000433535
Stacey,F,158129,0.000432758
Pearl,F,158052,0.000432547
Vicki,F,158035,0.000432501
Joann,F,157448,0.000430894
Max,M,157249,0.00043035
Kelsey,F,156489,0.00042827
Lillie,F,156312,0.000427785
Levi,M,155345,0.000425139
Lily,F,154954,0.000424069
Floyd,M,154927,0.000423995
Carla,F,154549,0.000422961
Edgar,M,154500,0.000422826
Lewis,M,154072,0.000421655
Jim,M,153801,0.000420913
Nora,F,153639,0.00042047
Maureen,F,152294,0.000416789
Brent,M,152033,0.000416075
Heidi,F,151914,0.000415749
Derrick,M,151297,0.000414061
Mario,M,151205,0.000413809
Nellie,F,150289,0.000411302
Lindsay,F,150081,0.000410733
Kristina,F,149828,0.00041004
Shelby,F,149560,0.000409307
Terri,F,148793,0.000407208
Destiny,F,148447,0.000406261
Vernon,M,148317,0.000405905
Paige,F,146805,0.000401767
Chris,M,146802,0.000401759
Marc,M,146384,0.000400615
Violet,F,146247,0.00040024
Willie,F,146229,0.000400191
Arlene,F,145657,0.000398625
Sue,F,145011,0.000396858
Cole,M,144997,0.000396819
Daisy,F,144704,0.000396017
Sabrina,F,144528,0.000395536
Ricardo,M,144483,0.000395413
Carmen,F,144016,0.000394134
Clyde,M,143298,0.000392169
Marian,F,142381,0.00038966
Vera,F,142252,0.000389307
Constance,F,141989,0.000388587
Deanna,F,141491,0.000387224
Wilma,F,140823,0.000385396
Colin,M,140689,0.000385029
Melinda,F,140656,0.000384939
Tom,M,140520,0.000384567
Lena,F,140358,0.000384123
Tamara,F,140156,0.000383571
Joy,F,139647,0.000382178
Faith,F,139589,0.000382019
Clayton,M,139536,0.000381874
Maurice,M,139157,0.000380837
Gabrielle,F,139088,0.000380648
Cory,M,138977,0.000380344
Franklin,M,138603,0.00037932
Ivan,M,138354,0.000378639
Xavier,M,138213,0.000378253
Charlene,F,138170,0.000378135
Katelyn,F,138070,0.000377862
Francisco,M,138061,0.000377837
Sofia,F,137267,0.000375664
Garrett,M,137167,0.000375391
Myrtle,F,137014,0.000374972
Cora,F,136752,0.000374255
Jordan,F,136682,0.000374063
Alejandro,M,136553,0.00037371
Herman,M,136519,0.000373617
Mabel,F,136118,0.00037252
Jorge,M,135370,0.000370473
Marcia,F,135064,0.000369635
Grant,M,134664,0.00036854
Marlene,F,134648,0.000368497
Erika,F,133683,0.000365856
Zoe,F,133298,0.000364802
Mackenzie,F,132869,0.000363628
Glen,M,132569,0.000362807
Viola,F,132029,0.000361329
Gilbert,M,131738,0.000360533
Jake,M,131649,0.000360289
Mattie,F,131570,0.000360073
Nina,F,131558,0.00036004
Claudia,F,131194,0.000359044
Lester,M,130881,0.000358187
Kaylee,F,130325,0.000356666
Avery,F,129423,0.000354197
Elmer,M,129113,0.000353349
Tanya,F,129077,0.00035325
Andre,M,128957,0.000352922
Alexa,F,128949,0.0003529
Jennie,F,128211,0.00035088
Autumn,F,127839,0.000349862
Sadie,F,127798,0.00034975
Gene,M,127453,0.000348806
Sam,M,127192,0.000348092
Marissa,F,125981,0.000344777
Colton,M,125903,0.000344564
Spencer,M,125170,0.000342558
Eli,M,125140,0.000342476
Alison,F,125010,0.00034212
Caitlin,F,124117,0.000339676
Harvey,M,123737,0.000338636
Tonya,F,123644,0.000338382
Priscilla,F,123386,0.000337675
Addison,F,123315,0.000337481
Isabel,F,122629,0.000335604
Angelina,F,122564,0.000335426
Brayden,M,122535,0.000335347
Sophie,F,122211,0.00033446
Chester,M,121517,0.000332561
Jeff,M,120870,0.00033079
Gwendolyn,F,120539,0.000329884
Casey,M,119894,0.000328119
Bryce,M,119712,0.000327621
Patsy,F,119666,0.000327495
Tristan,M,119490,0.000327013
Gabriella,F,119051,0.000325812
Taylor,M,118779,0.000325067
Leslie,M,118718,0.0003249
Maggie,F,118580,0.000324523
Miranda,F,118527,0.000324378
Darren,M,118362,0.000323926
Delores,F,118306,0.000323773
Milton,M,118010,0.000322963
Duane,M,117583,0.000321794
Preston,M,116598,0.000319098
Kylie,F,115870,0.000317106
Reginald,M,115163,0.000315171
Genevieve,F,115071,0.000314919
Ruben,M,114969,0.00031464
Aidan,M,114744,0.000314025
Brandy,F,114656,0.000313784
Yolanda,F,114610,0.000313658
Maxine,F,114196,0.000312525
Aubrey,F,114080,0.000312207
Jessie,M,113014,0.00030929
Roberto,M,112933,0.000309068
Carole,F,112675,0.000308362
Jimmie,M,112617,0.000308204
Joanna,F,112103,0.000306797
Neil,M,111911,0.000306271
Miriam,F,111833,0.000306058
Natasha,F,111593,0.000305401
Carson,M,111469,0.000305062
Katrina,F,111282,0.00030455
Leona,F,111269,0.000304514
Glenda,F,111185,0.000304285
Lance,M,111081,0.000304
Mae,F,111025,0.000303847
Mariah,F,110742,0.000303072
Vickie,F,110660,0.000302848
Brandi,F,110230,0.000301671
Whitney,F,110032,0.000301129
Jocelyn,F,109954,0.000300916
Josiah,M,109540,0.000299783
Everett,M,109014,0.000298343
Riley,F,108774,0.000297686
Diego,M,108041,0.00029568
Parker,M,107941,0.000295407
Cecil,M,107605,0.000294487
Kara,F,107325,0.000293721
Dan,M,106839,0.000292391
Meghan,F,106791,0.000292259
Dora,F,106380,0.000291134
Brooklyn,F,106277,0.000290853
Margie,F,106061,0.000290261
Allan,M,106003,0.000290103
Bethany,F,105728,0.00028935
Eduardo,M,105725,0.000289342
Ana,F,105582,0.000288951
Hector,M,105576,0.000288934
Arnold,M,105349,0.000288313
Marsha,F,104971,0.000287278
Karl,M,104565,0.000286167
Nolan,M,104499,0.000285987
Makayla,F,104069,0.00028481
Hayden,M,103343,0.000282823
Toni,F,103176,0.000282366
Riley,M,102818,0.000281386
Christy,F,102816,0.000281381
Clinton,M,102814,0.000281375
Billie,F,102479,0.000280458
Johnnie,M,102299,0.000279966
Dianne,F,102234,0.000279788
Ariana,F,102109,0.000279446
Kendra,F,101984,0.000279104
Alexandria,F,101942,0.000278989
Sierra,F,101929,0.000278953
Bailey,F,101817,0.000278647
Javier,M,100730,0.000275672
Penny,F,100671,0.00027551
Maya,F,100659,0.000275478
Melody,F,100475,0.000274974
Angel,F,100261,0.000274388
Roland,M,100063,0.000273846
Omar,M,100020,0.000273729
Hattie,F,99896,0.000273389
Johnathan,M,99649,0.000272713
Kay,F,99375,0.000271964
Cecilia,F,99183,0.000271438
Fernando,M,99115,0.000271252
Terry,F,98826,0.000270461
Darryl,M,98420,0.00026935
Brendan,M,97951,0.000268066
Felicia,F,97524,0.000266898
Maxwell,M,97478,0.000266772
Jenny,F,97194,0.000265995
Micah,M,97194,0.000265995
Isabelle,F,96894,0.000265174
Ada,F,96829,0.000264996
Briana,F,95885,0.000262412
Tanner,M,95697,0.000261898
Marguerite,F,94926,0.000259788
Jamie,M,94887,0.000259681
Lonnie,M,94795,0.000259429
Angelica,F,94247,0.00025793
Marshall,M,94138,0.000257631
Bridget,F,94104,0.000257538
Tracey,F,93256,0.000255217
Bob,M,93084,0.000254747
Abraham,M,93050,0.000254654
Arianna,F,92862,0.000254139
Madelyn,F,92656,0.000253575
Adriana,F,92615,0.000253463
Andy,M,92381,0.000252823
Brady,M,92316,0.000252645
Guy,M,92254,0.000252475
Nicolas,M,92222,0.000252388
Jackie,F,92216,0.000252371
Candace,F,91780,0.000251178
Hope,F,91732,0.000251047
Karla,F,91688,0.000250926
Claude,M,91595,0.000250672
Pedro,M,91246,0.000249717
Jillian,F,90999,0.000249041
Brittney,F,90902,0.000248775
Rachael,F,90117,0.000246627
Damian,M,89886,0.000245995
Lola,F,89480,0.000244884
Ross,M,89424,0.00024473
Kate,F,89413,0.0002447
Layla,F,89391,0.00024464
Jade,F,89382,0.000244615
Harriet,F,89325,0.000244459
Bobbie,F,89318,0.00024444
Misty,F,89311,0.000244421
Cooper,M,89027,0.000243644
Kurt,M,88970,0.000243488
Kristine,F,88757,0.000242905
Aaliyah,F,88543,0.000242319
Geneva,F,88234,0.000241474
Desiree,F,88026,0.000240904
Dakota,M,87942,0.000240674
Shelly,F,87866,0.000240466
Becky,F,87810,0.000240313
Jacquelyn,F,87663,0.000239911
Kelly,M,87633,0.000239829
Blanche,F,87556,0.000239618
Velma,F,87147,0.000238499
Krystal,F,87003,0.000238105
Raul,M,86851,0.000237689
Brad,M,86052,0.000235502
Ben,M,86040,0.000235469
Sherri,F,86032,0.000235447
Andres,M,85981,0.000235308
Susie,F,85484,0.000233948
Fannie,F,85120,0.000232951
Sidney,M,85101,0.000232899
Zoey,F,85044,0.000232743
Miles,M,84949,0.000232483
Breanna,F,84827,0.00023215
Monique,F,84784,0.000232032
Hugh,M,84741,0.000231914
Lula,F,84501,0.000231257
Iris,F,84446,0.000231107
Mathew,M,84012,0.000229919
Byron,M,83912,0.000229645
Jodi,F,83676,0.000229
Casey,F,83604,0.000228802
Tim,M,83483,0.000228471
Elias,M,83144,0.000227544
Rick,M,82883,0.000226829
Wallace,M,82688,0.000226296
Harper,F,82459,0.000225669
Summer,F,82316,0.000225278
Grayson,M,82241,0.000225072
Dalton,M,82235,0.000225056
Lynda,F,81995,0.000224399
Harrison,M,81847,0.000223994
Krista,F,81838,0.000223969
Hilda,F,81765,0.00022377
Tyrone,M,81702,0.000223597
Jaxon,M,81613,0.000223354
Rafael,M,81463,0.000222943
Gabriela,F,81173,0.000222149
Nevaeh,F,80996,0.000221665
Sheryl,F,80956,0.000221556
Drew,M,80854,0.000221276
Kristi,F,80833,0.000221219
Rosie,F,80792,0.000221107
Elena,F,80752,0.000220997
Angelo,M,80565,0.000220486
Eunice,F,80318,0.00021981
Shelley,F,80212,0.000219519
Nelson,M,80165,0.000219391
Antoinette,F,79851,0.000218531
Dwayne,M,79640,0.000217954
Dwight,M,79521,0.000217628
Kelli,F,79478,0.000217511
Julius,M,79386,0.000217259
Jackie,M,79361,0.00021719
Trinity,F,79145,0.000216599
Shaun,M,79139,0.000216583
Meredith,F,78979,0.000216145
Kaleb,M,78960,0.000216093
Sergio,M,78845,0.000215778
Collin,M,78801,0.000215658
Rebekah,F,78746,0.000215507
Greg,M,78646,0.000215234
Emmanuel,M,78552,0.000214976
Mamie,F,77850,0.000213055
Willard,M,77645,0.000212494
Ramon,M,77334,0.000211643
Perry,M,77047,0.000210858
Bianca,F,77020,0.000210784
Kristy,F,76858,0.00021034
Candice,F,76197,0.000208531
Jaden,M,76114,0.000208304
Belinda,F,76023,0.000208055
Gracie,F,75935,0.000207814
Devon,M,75887,0.000207683
Ted,M,75816,0.000207489
Terrence,M,75576,0.000206832
Janie,F,75281,0.000206025
Stuart,M,75144,0.00020565
Armando,M,74874,0.000204911
Rosalie,F,74395,0.0002036
Marco,M,74326,0.000203411
Cesar,M,74311,0.00020337
Ayden,M,74292,0.000203318
Ashton,M,74276,0.000203274
Irma,F,73936,0.000202344
Peyton,F,73876,0.000202179
Wade,M,73802,0.000201977
Terrance,M,73768,0.000201884
Erick,M,73761,0.000201865
Freddie,M,73468,0.000201063
Beulah,F,73160,0.00020022
Felix,M,72913,0.000199544
Kennedy,F,72523,0.000198477
Marion,M,72403,0.000198148
Ariel,F,72151,0.000197459
Brody,M,71765,0.000196402
Virgil,M,71633,0.000196041
Adrienne,F,71601,0.000195953
Roman,M,71300,0.00019513
Morris,M,71200,0.000194856
Robyn,F,70923,0.000194098
Clifton,M,70908,0.000194057
Kent,M,70866,0.000193942
Jonathon,M,70792,0.000193739
Jaime,M,70642,0.000193329
Kirk,M,70529,0.00019302
Sandy,F,70503,0.000192948
Jeannette,F,70502,0.000192946
Alberta,F,70444,0.000192787
Elise,F,70400,0.000192667
Verna,F,70295,0.000192379
Giovanni,M,70258,0.000192278
Camila,F,70246,0.000192245
Simon,M,70070,0.000191763
Carly,F,69846,0.00019115
Faye,F,69701,0.000190754
Sonia,F,69695,0.000190737
Camille,F,69624,0.000190543
Opal,F,69608,0.000190499
Nichole,F,69588,0.000190444
Ramona,F,69552,0.000190346
Cheyenne,F,69281,0.000189604
Scarlett,F,69020,0.00018889
Flora,F,68947,0.00018869
Sonya,F,68554,0.000187615
Jace,M,68475,0.000187398
Della,F,68383,0.000187147
Leonardo,M,68374,0.000187122
Penelope,F,68327,0.000186993
Lorenzo,M,68083,0.000186326
Genesis,F,68082,0.000186323
Jonah,M,67985,0.000186057
Daryl,M,67915,0.000185866
Lila,F,67818,0.0001856
Kristopher,M,67811,0.000185581
Natalia,F,67775,0.000185483
Malcolm,M,67735,0.000185373
Gianna,F,67681,0.000185225
Inez,F,67677,0.000185214
Skylar,F,67648,0.000185135
Valeria,F,67308,0.000184205
Marianne,F,66993,0.000183342
Damon,M,66920,0.000183143
Lincoln,M,66621,0.000182324
Luther,M,66503,0.000182001
Ellie,F,66383,0.000181673
Guadalupe,F,66378,0.000181659
Fredrick,M,66361,0.000181613
Jada,F,65881,0.000180299
Yvette,F,65358,0.000178868
